epwfilename,latitude,longitude
USA_AK_Adak.NAS.704540_TMY3.epw,51.88,-176.65
USA_AK_Ambler.701718_TMY3.epw,67.10,-157.85
USA_AK_Anaktuvuk.Pass.701625_TMY3.epw,68.13,-151.73
USA_AK_Anchorage-Elmendorf.AFB.702720_TMY3.epw,61.25,-149.80
USA_AK_Anchorage-Lake.Hood.Seaplane.Base.702725_TMY3.epw,61.18,-149.97
USA_AK_Anchorage-Merrill.Field.702735_TMY3.epw,61.22,-149.85
USA_AK_Anchorage.Intl.AP.702730_TMY3.epw,61.18,-150.00
USA_AK_Aniak.AP.702320_TMY3.epw,61.58,-159.53
USA_AK_Annette.Island.AP.703980_TMY3.epw,55.05,-131.57
USA_AK_Anvik.702075_TMY3.epw,62.65,-160.18
USA_AK_Barrow-W.Post-W.Rogers.AP.700260_TMY3.epw,71.32,-156.62
USA_AK_Bethel.AP.702190_TMY3.epw,60.78,-161.83
USA_AK_Bettles.Field.701740_TMY3.epw,66.92,-151.52
USA_AK_Big.Delta-Allen.AAF.702670_TMY3.epw,64.00,-145.72
USA_AK_Big.River.Lake.702986_TMY3.epw,60.82,-152.30
USA_AK_Birchwood.702746_TMY3.epw,61.42,-149.52
USA_AK_Chulitna.702606_TMY3.epw,62.88,-149.83
USA_AK_Cold.Bay.AP.703160_TMY3.epw,55.20,-162.72
USA_AK_Cordova.702960_TMY3.epw,60.50,-145.50
USA_AK_Deadhorse.700637_TMY3.epw,70.20,-148.48
USA_AK_Dillingham.AWOS.703210_TMY3.epw,59.05,-158.52
USA_AK_Eielson.AFB.702650_TMY3.epw,64.65,-147.10
USA_AK_Emmonak.702084_TMY3.epw,62.78,-164.50
USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,64.82,-147.85
USA_AK_Fort.Yukon.701940_TMY3.epw,66.57,-145.27
USA_AK_Gambell.702040_TMY3.epw,63.78,-171.75
USA_AK_Gulkana.702710_TMY3.epw,62.15,-145.45
USA_AK_Gustavus.703670_TMY3.epw,58.42,-135.70
USA_AK_Hayes.River.702495_TMY3.epw,61.98,-152.08
USA_AK_Healy.River.AP.702647_TMY3.epw,63.88,-149.02
USA_AK_Homer.AP.703410_TMY3.epw,59.65,-151.48
USA_AK_Hoonah.702607_TMY3.epw,58.08,-135.45
USA_AK_Hooper.Bay.702186_TMY3.epw,61.52,-166.15
USA_AK_Huslia.702225_TMY3.epw,65.70,-156.38
USA_AK_Hydaburg.Seaplane.Base.703884_TMY3.epw,55.20,-132.83
USA_AK_Iliamna.AP.703400_TMY3.epw,59.75,-154.92
USA_AK_Juneau.Intl.AP.703810_TMY3.epw,58.35,-134.58
USA_AK_Kake.Seaplane.Base.703855_TMY3.epw,56.97,-133.95
USA_AK_Kenai.Muni.AP.702590_TMY3.epw,60.58,-151.23
USA_AK_Ketchikan.Intl.AP.703950_TMY3.epw,55.37,-131.72
USA_AK_King.Salmon.AP.703260_TMY3.epw,58.68,-156.65
USA_AK_Kodiak.AP.703500_TMY3.epw,57.75,-152.50
USA_AK_Kotzebue-Ralph.Wein.Mem.AP.701330_TMY3.epw,66.88,-162.60
USA_AK_McGrath.AP.702310_TMY3.epw,62.95,-155.60
USA_AK_Mekoryuk.702185_TMY3.epw,60.37,-166.27
USA_AK_Middleton.Island.703430_TMY3.epw,59.47,-146.32
USA_AK_Minchumina.702460_TMY3.epw,63.88,-152.28
USA_AK_Nenana.Muni.AP.702600_TMY3.epw,64.55,-149.10
USA_AK_Nome.Muni.AP.702000_TMY3.epw,64.52,-165.45
USA_AK_Northway.AP.702910_TMY3.epw,62.97,-141.93
USA_AK_Palmer.Muni.AP.702740_TMY3.epw,61.60,-149.08
USA_AK_Petersburg.703860_TMY3.epw,56.80,-132.95
USA_AK_Point.Hope.AWOS.701043_TMY3.epw,68.35,-166.80
USA_AK_Port.Heiden.703330_TMY3.epw,56.95,-158.62
USA_AK_Saint.Marys.AWOS.702005_TMY3.epw,62.07,-163.30
USA_AK_Sand.Point.703165_TMY3.epw,55.32,-160.52
USA_AK_Savoonga.702035_TMY3.epw,63.68,-170.50
USA_AK_Selawik.700197_TMY3.epw,66.60,-160.00
USA_AK_Seward.702770_TMY3.epw,60.12,-149.45
USA_AK_Shemya.AFB.704140_TMY3.epw,52.72,174.12
USA_AK_Shishmaref.AWOS.701195_TMY3.epw,66.27,-166.05
USA_AK_Sitka-Japonski.Island.AP.703710_TMY3.epw,57.05,-135.37
USA_AK_Skagway.AP.703620_TMY3.epw,59.47,-135.30
USA_AK_Sleetmute.703407_TMY3.epw,61.72,-157.15
USA_AK_Soldotna.702595_TMY3.epw,60.47,-151.03
USA_AK_St.Paul.Island.AP.703080_TMY3.epw,57.17,-170.22
USA_AK_Talkeetna.State.AP.702510_TMY3.epw,62.32,-150.10
USA_AK_Tanana-Ralph.Calhoun.AP.701780_TMY3.epw,65.17,-152.10
USA_AK_Togiak.Village.AWOS.703606_TMY3.epw,59.05,-160.40
USA_AK_Unalakleet.Field.702070_TMY3.epw,63.88,-160.80
USA_AK_Unalaska-Dutch.Harbor.Field.704890_TMY3.epw,53.90,-166.55
USA_AK_Valdez-Pioneer.Field.702756_TMY3.epw,61.13,-146.27
USA_AK_Valdez.702750_TMY3.epw,61.13,-146.35
USA_AK_Whittier.702757_TMY3.epw,60.77,-148.68
USA_AK_Wrangell.703870_TMY3.epw,56.48,-132.37
USA_AK_Yakutat.State.AP.703610_TMY3.epw,59.52,-139.63
USA_AL_Anniston.Metro.AP.722287_TMY3.epw,33.58,-85.85
USA_AL_Auburn-Opelika.AP.722284_TMY3.epw,32.62,-85.43
USA_AL_Birmingham.Muni.AP.722280_TMY3.epw,33.57,-86.75
USA_AL_Dothan.Muni.AP.722268_TMY3.epw,31.23,-85.43
USA_AL_Fort.Rucker-Cairns.Field.722269_TMY3.epw,31.27,-85.72
USA_AL_Gadsen.Muni.AWOS.722285_TMY3.epw,33.97,-86.08
USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw,34.65,-86.78
USA_AL_Maxwell.AFB.722265_TMY3.epw,32.38,-86.35
USA_AL_Mobile-Downtown.AP.722235_TMY3.epw,30.63,-88.07
USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw,30.68,-88.25
USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw,32.30,-86.40
USA_AL_Muscle.Shoals.Rgnl.AP.723235_TMY3.epw,34.75,-87.60
USA_AL_Troy.Air.Field.722267_TMY3.epw,31.87,-86.02
USA_AL_Tuscaloosa.Muni.AP.722286_TMY3.epw,33.22,-87.62
USA_AR_Batesville.AWOS.723448_TMY3.epw,35.73,-91.65
USA_AR_Bentonville.AWOS.723444_TMY3.epw,36.35,-94.22
USA_AR_El.Dorado-Goodwin.Field.723419_TMY3.epw,33.22,-92.82
USA_AR_Fayetteville-Drake.Field.723445_TMY3.epw,36.00,-94.17
USA_AR_Flippin.AWOS.723447_TMY3.epw,36.30,-92.47
USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw,35.33,-94.37
USA_AR_Harrison.AP.723446_TMY3.epw,36.27,-93.15
USA_AR_Hot.Springs.Mem.AP.723415_TMY3.epw,34.47,-93.10
USA_AR_Jonesboro.Muni.AP.723407_TMY3.epw,35.83,-90.65
USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw,34.75,-92.23
USA_AR_Little.Rock.AFB.723405_TMY3.epw,34.92,-92.15
USA_AR_Pine.Bluff.AP.723417_TMY3.epw,34.17,-91.93
USA_AR_Rogers.AWOS.723449_TMY3.epw,36.37,-94.10
USA_AR_Siloam.Spring.AWOS.723443_TMY3.epw,36.18,-94.48
USA_AR_Springdale.Muni.AP.723434_TMY3.epw,36.18,-94.12
USA_AR_Stuttgart.AWOS.723416_TMY3.epw,34.60,-91.57
USA_AR_Texarkana-Webb.Field.723418_TMY3.epw,33.45,-94.00
USA_AR_Walnut.Ridge.AWOS.723406_TMY3.epw,36.13,-90.92
USA_AZ_Casa.Grande.AWOS.722748_TMY3.epw,32.95,-111.77
USA_AZ_Davis-Monthan.AFB.722745_TMY3.epw,32.17,-110.88
USA_AZ_Douglas-Bisbee.Douglas.Intl.AP.722735_TMY3.epw,31.47,-109.60
USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw,35.13,-111.67
USA_AZ_Grand.Canyon.National.Park.AP.723783_TMY3.epw,35.95,-112.15
USA_AZ_Kingman.AWOS.723700_TMY3.epw,35.27,-113.95
USA_AZ_Luke.AFB.722785_TMY3.epw,33.55,-112.37
USA_AZ_Page.Muni.AWOS.723710_TMY3.epw,36.93,-111.45
USA_AZ_Phoenix-Deer.Valley.AP.722784_TMY3.epw,33.68,-112.08
USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw,33.45,-111.98
USA_AZ_Prescott-Love.Field.723723_TMY3.epw,34.65,-112.42
USA_AZ_Safford.AWOS.722747_TMY3.epw,32.82,-109.68
USA_AZ_Scottsdale.Muni.AP.722789_TMY3.epw,33.62,-111.92
USA_AZ_Show.Low.Muni.AP.723747_TMY3.epw,34.27,-110.00
USA_AZ_Tucson.Intl.AP.722740_TMY3.epw,32.13,-110.95
USA_AZ_Winslow.Muni.AP.723740_TMY3.epw,35.03,-110.72
USA_AZ_Yuma.Intl.AP.722800_TMY3.epw,32.67,-114.60
USA_AZ_Yuma.MCAS.699604_TMY3.epw,32.65,-114.62
USA_CA_Alturas.725958_TMY3.epw,41.50,-120.53
USA_CA_Arcata.AP.725945_TMY3.epw,40.98,-124.10
USA_CA_Bakersfield-Meadows.Field.723840_TMY3.epw,35.43,-119.05
USA_CA_Barstow.Daggett.AP.723815_TMY3.epw,34.85,-116.80
USA_CA_Beale.AFB.724837_TMY3.epw,39.13,-121.43
USA_CA_Bishop.AP.724800_TMY3.epw,37.37,-118.35
USA_CA_Blue.Canyon.AP.725845_TMY3.epw,39.30,-120.72
USA_CA_Blythe-Riverside.County.AP.747188_TMY3.epw,33.62,-114.72
USA_CA_Burbank-Glendale-Passadena.Bob.Hope.AP.722880_TMY3.epw,34.20,-118.35
USA_CA_Camarillo.AWOS.723926_TMY3.epw,34.22,-119.08
USA_CA_Camp.Pendleton.MCAS.722926_TMY3.epw,33.30,-117.35
USA_CA_Carlsbad.722927_TMY3.epw,33.13,-117.28
USA_CA_China.Lake.NAF.746120_TMY3.epw,35.68,-117.68
USA_CA_Chino.AP.722899_TMY3.epw,33.97,-117.63
USA_CA_Chula.Vista-Brown.Field.Muni.AP.722904_TMY3.epw,32.58,-116.98
USA_CA_Concord-Buchanan.Field.724936_TMY3.epw,38.00,-122.05
USA_CA_Crescent.City-Jack.McNamara.Field.725946_TMY3.epw,41.78,-124.23
USA_CA_Edwards.AFB.723810_TMY3.epw,34.90,-117.87
USA_CA_Fairfield-Travis.AFB.745160_TMY3.epw,38.27,-121.93
USA_CA_Fresno.Air.Terminal.723890_TMY3.epw,36.78,-119.72
USA_CA_Fullerton.Muni.AP.722976_TMY3.epw,33.87,-117.98
USA_CA_Hawthorne-Jack.Northrop.Field.722956_TMY3.epw,33.92,-118.33
USA_CA_Hayward.Air.Terminal.724935_TMY3.epw,37.67,-122.12
USA_CA_Imperial.County.AP.747185_TMY3.epw,32.83,-115.58
USA_CA_Lancaster-Gen.Wm.Fox.Field.723816_TMY3.epw,34.73,-118.22
USA_CA_Lemoore.NAS.747020_TMY3.epw,36.33,-119.95
USA_CA_Livermore.Muni.AP.724927_TMY3.epw,37.70,-121.82
USA_CA_Lompoc.AWOS.722895_TMY3.epw,34.67,-120.47
USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw,33.83,-118.17
USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw,33.93,-118.40
USA_CA_March.AFB.722860_TMY3.epw,33.90,-117.25
USA_CA_Merced-Macready.Field.724815_TMY3.epw,37.28,-120.52
USA_CA_Modesto.Muni.AP.724926_TMY3.epw,37.63,-120.95
USA_CA_Montague-Siskiyou.County.AP.725955_TMY3.epw,41.78,-122.47
USA_CA_Monterey.NAF.724915_TMY3.epw,36.60,-121.87
USA_CA_Mountain.View-Moffett.Field.NAS.745090_TMY3.epw,37.40,-122.05
USA_CA_Napa.County.AP.724955_TMY3.epw,38.22,-122.28
USA_CA_Needles.AP.723805_TMY3.epw,34.77,-114.62
USA_CA_Oakland.Intl.AP.724930_TMY3.epw,37.72,-122.22
USA_CA_Oxnard.AP.723927_TMY3.epw,34.20,-119.20
USA_CA_Palm.Springs-Thermal.AP.747187_TMY3.epw,33.63,-116.17
USA_CA_Palm.Springs.Intl.AP.722868_TMY3.epw,33.83,-116.50
USA_CA_Palmdale.AP.723820_TMY3.epw,34.63,-118.08
USA_CA_Paso.Robles.Muni.AP.723965_TMY3.epw,35.67,-120.63
USA_CA_Point.Mugu.NAS.723910_TMY3.epw,34.12,-119.12
USA_CA_Porterville.AWOS.723895_TMY3.epw,36.03,-119.07
USA_CA_Red.Bluff.Muni.AP.725910_TMY3.epw,40.15,-122.25
USA_CA_Redding.Muni.AP.725920_TMY3.epw,40.52,-122.32
USA_CA_Riverside.Muni.AP.722869_TMY3.epw,33.95,-117.45
USA_CA_Sacramento.Exec.AP.724830_TMY3.epw,38.50,-121.50
USA_CA_Sacramento.Metro.AP.724839_TMY3.epw,38.70,-121.58
USA_CA_Salinas.Muni.AP.724917_TMY3.epw,36.67,-121.60
USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,32.73,-117.17
USA_CA_San.Diego-Miramar.NAS.722930_TMY3.epw,32.87,-117.13
USA_CA_San.Diego-Montgomery.Field.722903_TMY3.epw,32.82,-117.13
USA_CA_San.Diego-North.Island.NAS.722906_TMY3.epw,32.70,-117.20
USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,37.62,-122.40
USA_CA_San.Jose.Intl.AP.724945_TMY3.epw,37.37,-121.93
USA_CA_San.Luis.Obispo.AP.722897_TMY3.epw,35.23,-120.63
USA_CA_Sandberg.723830_TMY3.epw,34.75,-118.72
USA_CA_Santa.Ana-John.Wayne.AP.722977_TMY3.epw,33.68,-117.87
USA_CA_Santa.Barbara.Muni.AP.723925_TMY3.epw,34.43,-119.85
USA_CA_Santa.Maria.Public.AP.723940_TMY3.epw,34.92,-120.47
USA_CA_Santa.Monica.Muni.AP.722885_TMY3.epw,34.02,-118.45
USA_CA_Santa.Rosa.AWOS.724957_TMY3.epw,38.52,-122.82
USA_CA_South.Lake.Tahoe-Lake.Tahoe.AP.725847_TMY3.epw,38.90,-120.00
USA_CA_Stockton.Metro.AP.724920_TMY3.epw,37.90,-121.23
USA_CA_Truckee.Tahoe.AP.725846_TMY3.epw,39.32,-120.13
USA_CA_Twentynine.Palms.690150_TMY3.epw,34.30,-116.17
USA_CA_Ukiah.Muni.AP.725905_TMY3.epw,39.13,-123.20
USA_CA_Van.Nuys.AP.722886_TMY3.epw,34.22,-118.48
USA_CA_Visalia.Muni.AWOS.723896_TMY3.epw,36.32,-119.40
USA_CA_Yuba.County.AP.724838_TMY3.epw,39.10,-121.57
USA_CO_Akron-Washington.County.AP.724698_TMY3.epw,40.17,-103.23
USA_CO_Alamosa.Muni.AP.724620_TMY3.epw,37.43,-105.87
USA_CO_Aspen-Pitkin.County-Sardy.Field.724676_TMY3.epw,39.22,-106.87
USA_CO_Aurora-Buckley.Field.ANGB.724695_TMY3.epw,39.72,-104.75
USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3.epw,40.13,-105.24
USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3.epw,38.82,-104.72
USA_CO_Cortez-Montezuma.County.AP.724767_TMY3.epw,37.30,-108.63
USA_CO_Craig.Moffat.AP.725700_TMY3.epw,40.50,-107.53
USA_CO_Denver.Intl.AP.725650_TMY3.epw,39.83,-104.65
USA_CO_Durango-La.Plata.County.AP.724625_TMY3.epw,37.15,-107.75
USA_CO_Eagle.County.Rgnl.AP.724675_TMY3.epw,39.65,-106.92
USA_CO_Fort.Collins.AWOS.724769_TMY3.epw,40.45,-105.02
USA_CO_Golden-NREL.724666_TMY3.epw,39.74,-105.18
USA_CO_Grand.Junction-Walker.Field.724760_TMY3.epw,39.13,-108.53
USA_CO_Greeley-Weld.County.AWOS.724768_TMY3.epw,40.43,-104.63
USA_CO_Gunnison.County.AWOS.724677_TMY3.epw,38.53,-106.93
USA_CO_Hayden-Yampa.AWOS.725715_TMY3.epw,40.48,-107.22
USA_CO_La.Junta.Muni.AP.724635_TMY3.epw,38.05,-103.53
USA_CO_Lamar.Muni.AP.724636_TMY3.epw,38.07,-102.68
USA_CO_Leadville-Lake.County.AP.724673_TMY3.epw,39.22,-106.32
USA_CO_Limon.Muni.AP.724665_TMY3.epw,39.18,-103.72
USA_CO_Montrose.County.AP.724765_TMY3.epw,38.50,-107.90
USA_CO_Pueblo.Mem.AP.724640_TMY3.epw,38.28,-104.50
USA_CO_Rifle-Garfield.County.Rgnl.AP.725717_TMY3.epw,39.53,-107.72
USA_CO_Trinidad-Las.Animas.County.AP.724645_TMY3.epw,37.27,-104.33
USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3.epw,41.18,-73.15
USA_CT_Danbury.Muni.AP.725086_TMY3.epw,41.37,-73.48
USA_CT_Groton-New.London.AP.725046_TMY3.epw,41.33,-72.05
USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3.epw,41.93,-72.68
USA_CT_Hartford-Brainard.Field.725087_TMY3.epw,41.73,-72.65
USA_CT_New.Haven-Tweed.AP.725045_TMY3.epw,41.27,-72.88
USA_CT_Oxford.AWOS.725029_TMY3.epw,41.48,-73.13
USA_DE_Dover.AFB.724088_TMY3.epw,39.13,-75.47
USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3.epw,39.67,-75.60
USA_FL_Crestview-Bob.Sikes.AP.722215_TMY3.epw,30.78,-86.52
USA_FL_Daytona.Beach.Intl.AP.722056_TMY3.epw,29.18,-81.07
USA_FL_Fort.Lauderdale.Executive.AP.722039_TMY3.epw,26.20,-80.17
USA_FL_Fort.Lauderdale.Intl.AP.722025_TMY3.epw,26.07,-80.15
USA_FL_Fort.Myers-Page.Field.722106_TMY3.epw,26.58,-81.87
USA_FL_Fort.Pierce-St.Lucie.County.AP.722103_TMY3.epw,27.48,-80.37
USA_FL_Fort.Walton.Beach-Hurlburt.Field.747770_TMY3.epw,30.42,-86.68
USA_FL_Gainesville.Rgnl.AP.722146_TMY3.epw,29.70,-82.28
USA_FL_Homestead.AFB.722026_TMY3.epw,25.48,-80.38
USA_FL_Jacksonville-Craig.Field.722068_TMY3.epw,30.33,-81.52
USA_FL_Jacksonville.Intl.AP.722060_TMY3.epw,30.50,-81.70
USA_FL_Jacksonville.NAS.722065_TMY3.epw,30.23,-81.67
USA_FL_Key.West.Intl.AP.722010_TMY3.epw,24.55,-81.75
USA_FL_Key.West.NAS.722015_TMY3.epw,24.58,-81.68
USA_FL_Lakeland.Linder.Rgnl.AP.722119_TMY3.epw,27.98,-82.02
USA_FL_MacDill.AFB.747880_TMY3.epw,27.85,-82.52
USA_FL_Marathon.AP.722016_TMY3.epw,24.73,-81.05
USA_FL_Mayport.NS.722066_TMY3.epw,30.40,-81.42
USA_FL_Melbourne.Rgnl.AP.722040_TMY3.epw,28.12,-80.65
USA_FL_Miami-Kendall-Tamiami.Executive.AP.722029_TMY3.epw,25.65,-80.43
USA_FL_Miami-Opa.Locka.AP.722024_TMY3.epw,25.90,-80.28
USA_FL_Miami.Intl.AP.722020_TMY3.epw,25.82,-80.30
USA_FL_Naples.Muni.AP.722038_TMY3.epw,26.15,-81.77
USA_FL_NASA.Shuttle.Landing.Facility.747946_TMY3.epw,28.62,-80.72
USA_FL_Ocala.Muni.AWOS.722055_TMY3.epw,29.17,-82.22
USA_FL_Orlando-Sanford.AP.722057_TMY3.epw,28.78,-81.25
USA_FL_Orlando.Executive.AP.722053_TMY3.epw,28.55,-81.33
USA_FL_Orlando.Intl.AP.722050_TMY3.epw,28.43,-81.33
